cve	platform	product	kev_date	reference
CVE-2002-0367	windows	Windows	2022-03-03	https://www.cve.org/CVERecord?id=CVE-2002-0367
CVE-2004-0210	windows	Windows	2022-03-03	https://www.cve.org/CVERecord?id=CVE-2004-0210
CVE-2013-2094	linux	Kernel	2022-09-15	https://www.cve.org/CVERecord?id=CVE-2013-2094
CVE-2013-2596	linux	Kernel	2022-09-15	https://www.cve.org/CVERecord?id=CVE-2013-2596
CVE-2013-5065	windows	Windows	2022-03-03	https://www.cve.org/CVERecord?id=CVE-2013-5065
CVE-2013-6282	linux	Kernel	2022-09-15	https://www.cve.org/CVERecord?id=CVE-2013-6282
CVE-2014-1812	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2014-1812
CVE-2014-3153	linux	Kernel	2022-05-25	https://www.cve.org/CVERecord?id=CVE-2014-3153
CVE-2015-0016	windows	Windows	2022-05-25	https://www.cve.org/CVERecord?id=CVE-2015-0016
CVE-2015-1769	windows	Windows	2022-05-25	https://www.cve.org/CVERecord?id=CVE-2015-1769
CVE-2015-3246	linux	Libuser	2026-08-26	https://www.cve.org/CVERecord?id=CVE-2015-3246
CVE-2015-6175	windows	Windows	2022-05-25	https://www.cve.org/CVERecord?id=CVE-2015-6175
CVE-2016-0040	windows	Windows	2022-03-28	https://www.cve.org/CVERecord?id=CVE-2016-0040
CVE-2016-0099	windows	Windows	2022-03-03	https://www.cve.org/CVERecord?id=CVE-2016-0099
CVE-2016-3309	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2016-3309
CVE-2016-5195	linux	Kernel	2022-03-03	https://www.cve.org/CVERecord?id=CVE-2016-5195
CVE-2017-0005	windows	Windows	2022-05-24	https://www.cve.org/CVERecord?id=CVE-2017-0005
CVE-2017-0101	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2017-0101
CVE-2017-0213	windows	Windows	2022-03-28	https://www.cve.org/CVERecord?id=CVE-2017-0213
CVE-2017-1000253	linux	Kernel	2024-09-09	https://www.cve.org/CVERecord?id=CVE-2017-1000253
CVE-2018-0824	windows	Windows	2024-08-05	https://www.cve.org/CVERecord?id=CVE-2018-0824
CVE-2018-8440	windows	Windows	2022-03-28	https://www.cve.org/CVERecord?id=CVE-2018-8440
CVE-2018-8611	windows	Windows	2022-05-24	https://www.cve.org/CVERecord?id=CVE-2018-8611
CVE-2018-8639	windows	Windows	2025-03-03	https://www.cve.org/CVERecord?id=CVE-2018-8639
CVE-2019-0543	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-0543
CVE-2019-0841	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-0841
CVE-2019-0863	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2019-0863
CVE-2019-0880	windows	Windows	2022-05-23	https://www.cve.org/CVERecord?id=CVE-2019-0880
CVE-2019-1064	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-1064
CVE-2019-1129	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-1129
CVE-2019-1130	windows	Windows	2022-05-23	https://www.cve.org/CVERecord?id=CVE-2019-1130
CVE-2019-1214	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2019-1214
CVE-2019-1215	windows	Windows	2021-11-03	https://www.cve.org/CVERecord?id=CVE-2019-1215
CVE-2019-1253	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-1253
CVE-2019-1315	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-1315
CVE-2019-1322	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-1322
CVE-2019-1385	windows	Windows	2022-05-23	https://www.cve.org/CVERecord?id=CVE-2019-1385
CVE-2019-1388	windows	Windows	2023-04-07	https://www.cve.org/CVERecord?id=CVE-2019-1388
CVE-2019-1405	windows	Windows	2022-03-15	https://www.cve.org/CVERecord?id=CVE-2019-1405
